address	type	source	name
00203cb0	Label	DEFAULT	LAB_00203cb0
00203cc0	Function	IMPORTED	joySetShock
00203d10	Label	DEFAULT	LAB_00203d10
00203d14	Label	DEFAULT	LAB_00203d14
00203d70	Function	IMPORTED	joyGetShockLeft
00203db0	Label	DEFAULT	LAB_00203db0
00203db4	Label	DEFAULT	LAB_00203db4
00203df0	Function	IMPORTED	joyGetShockRight
00203e30	Label	DEFAULT	LAB_00203e30
00203e34	Label	DEFAULT	LAB_00203e34
00203e70	Function	IMPORTED	joyNewButLOCAL
00203ea0	Function	IMPORTED	joyButLOCAL
00203ee0	Function	IMPORTED	joyGetAxisLOCAL
00203f34	Label	DEFAULT	LAB_00203f34
00203f4c	Label	DEFAULT	LAB_00203f4c
00203f5c	Label	DEFAULT	LAB_00203f5c
00203f70	Label	DEFAULT	LAB_00203f70
00203f7c	Label	DEFAULT	LAB_00203f7c
00203f80	Label	DEFAULT	LAB_00203f80
00203f90	Label	DEFAULT	LAB_00203f90
00203f94	Label	DEFAULT	LAB_00203f94
00203f98	Label	DEFAULT	LAB_00203f98
00203fa0	Function	IMPORTED	joyMake
00203ff0	Label	DEFAULT	LAB_00203ff0
00204028	Label	DEFAULT	LAB_00204028
0020402c	Label	DEFAULT	LAB_0020402c
00204044	Label	DEFAULT	LAB_00204044
00204060	Function	IMPORTED	BuffAddu8
00204088	Function	IMPORTED	BuffAddu16
002040b8	Function	IMPORTED	BuffAddu32
002040e8	Function	IMPORTED	BuffAddfloat
00204118	Function	IMPORTED	BuffRemoveu8
00204140	Function	IMPORTED	BuffRemoveu16
00204170	Function	IMPORTED	BuffRemoveu32
002041a0	Function	IMPORTED	BuffRemovefloat
002041d0	Function	IMPORTED	PutControllerInBuff
0020420c	Label	DEFAULT	LAB_0020420c
002042b0	Function	IMPORTED	GetControllerFromBuff
002042ec	Label	DEFAULT	LAB_002042ec
00204390	Function	IMPORTED	GetControllerNumber
002043c4	Label	DEFAULT	LAB_002043c4
002043e8	Function	IMPORTED	soundMake
00204410	Label	DEFAULT	LAB_00204410
00204428	Label	DEFAULT	LAB_00204428
00204460	Function	IMPORTED	soundSelectBuffer
00204478	Function	IMPORTED	soundResetBuffer
002044a0	Function	IMPORTED	soundCreateBuffer
002044c0	Function	IMPORTED	soundRestart
002044e0	Label	DEFAULT	LAB_002044e0
00204518	Label	DEFAULT	LAB_00204518
002045f0	Label	DEFAULT	LAB_002045f0
0020461c	Label	DEFAULT	LAB_0020461c
00204620	Label	DEFAULT	LAB_00204620
00204650	Function	IMPORTED	soundReset
002046b0	Label	DEFAULT	LAB_002046b0
00204708	Label	DEFAULT	LAB_00204708
00204718	Label	DEFAULT	LAB_00204718
00204748	Function	IMPORTED	soundRestartAfter
00204750	Function	IMPORTED	soundResetAfter
00204778	Label	DEFAULT	LAB_00204778
002047a0	Label	DEFAULT	LAB_002047a0
002047a4	Label	DEFAULT	LAB_002047a4
002047c8	Function	IMPORTED	soundPreload
00204800	Label	DEFAULT	LAB_00204800
00204810	Label	DEFAULT	LAB_00204810
0020482c	Label	DEFAULT	LAB_0020482c
00204840	Label	DEFAULT	LAB_00204840
00204848	Label	DEFAULT	LAB_00204848
00204868	Label	DEFAULT	LAB_00204868
00204890	Label	DEFAULT	LAB_00204890
00204894	Label	DEFAULT	LAB_00204894
002048a0	Label	DEFAULT	LAB_002048a0
002048a4	Label	DEFAULT	LAB_002048a4
002048b8	Function	IMPORTED	soundEnd
002048f8	Function	IMPORTED	soundSetChannel
00204908	Function	IMPORTED	soundBatchAdd
00204948	Label	DEFAULT	LAB_00204948
00204950	Function	IMPORTED	soundBatchExec
002049a8	Label	DEFAULT	LAB_002049a8
002049b8	Function	IMPORTED	soundBatchReset
002049c0	Function	IMPORTED	soundCalcVol
00204a28	Label	DEFAULT	LAB_00204a28
00204a78	Label	DEFAULT	LAB_00204a78
00204a88	Label	DEFAULT	LAB_00204a88
00204abc	Label	DEFAULT	LAB_00204abc
00204acc	Label	DEFAULT	LAB_00204acc
00204b18	Label	DEFAULT	LAB_00204b18
00204b4c	Label	DEFAULT	LAB_00204b4c
00204bc4	Label	DEFAULT	LAB_00204bc4
00204c0c	Label	DEFAULT	LAB_00204c0c
00204c24	Label	DEFAULT	LAB_00204c24
00204c28	Label	DEFAULT	LAB_00204c28
00204c2c	Label	DEFAULT	LAB_00204c2c
00204c54	Label	DEFAULT	LAB_00204c54
00204c78	Function	IMPORTED	announceTick
00204cb0	Label	DEFAULT	LAB_00204cb0
00204cc4	Label	DEFAULT	LAB_00204cc4
00204cfc	Label	DEFAULT	LAB_00204cfc
00204d28	Label	DEFAULT	LAB_00204d28
00204d3c	Label	DEFAULT	LAB_00204d3c
00204d58	Label	DEFAULT	LAB_00204d58
00204d70	Label	DEFAULT	LAB_00204d70
00204d84	Label	DEFAULT	LAB_00204d84
00204da0	Label	DEFAULT	LAB_00204da0
00204db8	Label	DEFAULT	LAB_00204db8
00204ddc	Label	DEFAULT	LAB_00204ddc
00204df0	Label	DEFAULT	LAB_00204df0
00204e04	Label	DEFAULT	LAB_00204e04
00204e20	Label	DEFAULT	LAB_00204e20
00204e38	Label	DEFAULT	LAB_00204e38
00204e5c	Label	DEFAULT	LAB_00204e5c
00204e70	Label	DEFAULT	LAB_00204e70
00204e8c	Label	DEFAULT	LAB_00204e8c
00204ea4	Label	DEFAULT	LAB_00204ea4
00204ea8	Label	DEFAULT	LAB_00204ea8
00204ec0	Function	IMPORTED	soundTick
00204ef8	Label	DEFAULT	LAB_00204ef8
00204f20	Label	ANALYSIS	switchD_00204f20::switchD
00204f28	Label	ANALYSIS	switchD_00204f20::caseD_1
00204f6c	Label	DEFAULT	LAB_00204f6c
00204f78	Label	ANALYSIS	switchD_00204f20::caseD_2
00205000	Label	DEFAULT	LAB_00205000
00205004	Label	DEFAULT	LAB_00205004
