entry	end	size	name	prototype
002cff40	002cff4f	16	StartThread	undefined StartThread()
002cff50	002cff5f	16	ExitThread	undefined ExitThread()
002cff60	002cff6f	16	ExitDeleteThread	undefined ExitDeleteThread()
002cff70	002cff7f	16	TerminateThread	undefined TerminateThread()
002cff80	002cff8f	16	iTerminateThread	undefined iTerminateThread()
002cff90	002cff9f	16	DisableDispatchThread	undefined DisableDispatchThread()
002cffa0	002cffaf	16	EnableDispatchThread	undefined EnableDispatchThread()
002cffb0	002cffbf	16	ChangeThreadPriority	undefined ChangeThreadPriority()
002cffc0	002cffcf	16	iChangeThreadPriority	undefined iChangeThreadPriority()
002cffd0	002cffdf	16	RotateThreadReadyQueue	undefined RotateThreadReadyQueue()
002cffe0	002cffef	16	iRotateThreadReadyQueue	undefined iRotateThreadReadyQueue()
002cfff0	002cffff	16	ReleaseWaitThread	undefined ReleaseWaitThread()
002d0000	002d000f	16	iReleaseWaitThread	undefined iReleaseWaitThread()
002d0010	002d001f	16	GetThreadId	undefined GetThreadId()
002d0020	002d002f	16	ReferThreadStatus	undefined ReferThreadStatus()
002d0030	002d003f	16	iReferThreadStatus	undefined iReferThreadStatus()
002d0040	002d004f	16	SleepThread	undefined SleepThread()
002d0050	002d005f	16	WakeupThread	undefined WakeupThread()
002d0060	002d006f	16	_iWakeupThread	undefined _iWakeupThread()
002d0070	002d007f	16	CancelWakeupThread	undefined CancelWakeupThread()
002d0080	002d008f	16	iCancelWakeupThread	undefined iCancelWakeupThread()
002d0090	002d009f	16	SuspendThread	undefined SuspendThread()
002d00a0	002d00af	16	iSuspendThread	undefined iSuspendThread()
002d00b0	002d00bf	16	ResumeThread	undefined ResumeThread()
002d00c0	002d00cf	16	iResumeThread	undefined iResumeThread()
002d00d0	002d00df	16	JoinThread	undefined JoinThread()
002d00e0	002d00ef	16	RFU060	undefined RFU060()
002d00f0	002d00ff	16	RFU061	undefined RFU061()
002d0100	002d010f	16	EndOfHeap	undefined EndOfHeap()
002d0110	002d011f	16	RFU063	undefined RFU063()
002d0120	002d012f	16	CreateSema	undefined CreateSema()
002d0130	002d013f	16	DeleteSema	undefined DeleteSema()
002d0140	002d014f	16	SignalSema	undefined SignalSema()
002d0150	002d015f	16	iSignalSema	undefined iSignalSema()
002d0160	002d016f	16	WaitSema	undefined WaitSema()
002d0170	002d017f	16	PollSema	undefined PollSema()
002d0180	002d018f	16	iPollSema	undefined iPollSema()
002d0190	002d019f	16	ReferSemaStatus	undefined ReferSemaStatus()
002d01a0	002d01af	16	iReferSemaStatus	undefined iReferSemaStatus()
002d01b0	002d01bf	16	RFU073	undefined RFU073()
002d01c0	002d01cf	16	SetOsdConfigParam	undefined SetOsdConfigParam()
002d01d0	002d01df	16	GetOsdConfigParam	undefined GetOsdConfigParam()
002d01e0	002d01ef	16	GetGsHParam	undefined GetGsHParam()
002d01f0	002d01ff	16	GetGsVParam	undefined GetGsVParam()
002d0200	002d020f	16	SetGsHParam	undefined SetGsHParam()
002d0210	002d021f	16	SetGsVParam	undefined SetGsVParam()
002d0220	002d022f	16	RFU080_CreateEventFlag	undefined RFU080_CreateEventFlag()
002d0230	002d023f	16	RFU081_DeleteEventFlag	undefined RFU081_DeleteEventFlag()
002d0240	002d024f	16	RFU082_SetEventFlag	undefined RFU082_SetEventFlag()
002d0250	002d025f	16	RFU083_iSetEventFlag	undefined RFU083_iSetEventFlag()
002d0260	002d026f	16	RFU084_ClearEventFlag	undefined RFU084_ClearEventFlag()
002d0270	002d027f	16	RFU085_iClearEventFlag	undefined RFU085_iClearEventFlag()
002d0280	002d028f	16	RFU086_WaitEvnetFlag	undefined RFU086_WaitEvnetFlag()
002d0290	002d029f	16	RFU087_PollEvnetFlag	undefined RFU087_PollEvnetFlag()
002d02a0	002d02af	16	RFU088_iPollEvnetFlag	undefined RFU088_iPollEvnetFlag()
002d02b0	002d02bf	16	RFU089_ReferEventFlagStatus	undefined RFU089_ReferEventFlagStatus()
002d02c0	002d02cf	16	RFU090_iReferEventFlagStatus	undefined RFU090_iReferEventFlagStatus()
002d02d0	002d02df	16	RFU091	undefined RFU091()
002d02e0	002d02ef	16	EnableIntcHandler	undefined EnableIntcHandler()
