path	length	kind	description
/locale.h/lconv *	4	PointerDB	pointer to lconv
/ldiv_t	16	StructureDB	
FIELD	0	8	quot	/long int
FIELD	8	8	rem	/long int
/long	8	LongDataType	Signed Long Integer (compiler-specific size)
/long double	8	TypedefDB	Signed Long Integer (compiler-specific size)
/long int	8	TypedefDB	Signed Long Integer (compiler-specific size)
/long int[2]	16	ArrayDB	Array of Signed Long Integer (compiler-specific size)
/long long int	8	TypedefDB	Signed Long Integer (compiler-specific size)
/long long unsigned int	8	TypedefDB	Unsigned Long Integer (compiler-specific size)
/long unsigned int	8	TypedefDB	Unsigned Long Integer (compiler-specific size)
/machine_mode	4	EnumDB	
/mallinfo	40	StructureDB	
FIELD	0	4	arena	/int
FIELD	4	4	ordblks	/int
FIELD	8	4	smblks	/int
FIELD	12	4	hblks	/int
FIELD	16	4	hblkhd	/int
FIELD	20	4	usmblks	/int
FIELD	24	4	fsmblks	/int
FIELD	28	4	uordblks	/int
FIELD	32	4	fordblks	/int
FIELD	36	4	keepcost	/int
/malloc_chunk	16	StructureDB	
FIELD	0	4	prev_size	/size_t
FIELD	4	4	size	/size_t
FIELD	8	4	fd	/malloc_chunk *
FIELD	12	4	bk	/malloc_chunk *
/malloc_chunk *	4	PointerDB	pointer to malloc_chunk
/mbinptr	4	TypedefDB	pointer to malloc_chunk
/mbinptr[258]	1032	ArrayDB	Array of pointer to malloc_chunk
/mchunkptr	4	TypedefDB	pointer to malloc_chunk
/mips_abicalls_type	4	EnumDB	
/mips_args	60	StructureDB	
FIELD	0	4	gp_reg_found	/int
FIELD	4	4	arg_number	/int
FIELD	8	4	arg_words	/int
FIELD	12	4	fp_arg_words	/int
FIELD	16	4	last_arg_fp	/int
FIELD	20	4	fp_code	/int
FIELD	24	4	num_adjusts	/int
FIELD	28	32	adjust	/rtx_def *[8]
/mips_frame_info	112	StructureDB	
FIELD	0	8	total_size	/long int
FIELD	8	8	var_size	/long int
FIELD	16	8	args_size	/long int
FIELD	24	8	extra_size	/long int
FIELD	32	4	gp_reg_size	/int
FIELD	36	4	fp_reg_size	/int
FIELD	40	8	mask	/long int
FIELD	48	8	fmask	/long int
FIELD	56	8	gp_save_offset	/long int
FIELD	64	8	fp_save_offset	/long int
FIELD	72	8	gp_sp_offset	/long int
FIELD	80	8	fp_sp_offset	/long int
FIELD	88	4	initialized	/int
FIELD	92	4	num_gp	/int
FIELD	96	4	num_fp	/int
FIELD	104	8	insns_len	/long int
/mode_class	4	EnumDB	
/mode_t	4	TypedefDB	Unsigned Integer (compiler-specific size)
/nlink_t	2	TypedefDB	Signed Short Integer (compiler-specific size)
/off_t	8	TypedefDB	Signed Long Integer (compiler-specific size)
/pid_t	4	TypedefDB	Signed Integer (compiler-specific size)
/pointer	4	PointerDB	pointer
/processor_type	4	EnumDB	
/ptrdiff_t	4	TypedefDB	Signed Integer (compiler-specific size)
/reg_class	4	EnumDB	
/rtx_def	1	StructureDB	Probably forward declared, but not defined, in a translation unit with symbols.
/rtx_def *	4	PointerDB	pointer to rtx_def
/rtx_def *[8]	32	ArrayDB	Array of pointer to rtx_def
/SFtype	4	TypedefDB	Compiler-defined 'float' IEEE 754 floating-point type (32-bit / 4-byte format, aligned-length is 4-bytes)
/short	2	ShortDataType	Signed Short Integer (compiler-specific size)
/short int	2	TypedefDB	Unsigned Short Integer (compiler-specific size)
/short unsigned int	2	TypedefDB	Signed Short Integer (compiler-specific size)
/sig_atomic_t	4	TypedefDB	Signed Integer (compiler-specific size)
/sigaction	24	StructureDB	
FIELD	0	4	sa_handler	/undefined1 *
FIELD	8	8	sa_mask	/sigset_t
FIELD	16	4	sa_flags	/int
/signed char	1	TypedefDB	Character
/sigset_t	8	TypedefDB	Unsigned Long Integer (compiler-specific size)
/SItype	4	TypedefDB	Signed Integer (compiler-specific size)
/size_t	4	TypedefDB	Unsigned Integer (compiler-specific size)
/stddef.h/size_t	8	TypedefDB	Unsigned Long Integer (compiler-specific size)
/ssize_t	8	TypedefDB	Signed Long Integer (compiler-specific size)
/types.h/ssize_t	4	TypedefDB	Signed Integer (compiler-specific size)
/stat	104	StructureDB	
FIELD	0	2	st_dev	/dev_t
FIELD	2	2	st_ino	/ino_t
FIELD	4	4	st_mode	/mode_t
FIELD	8	2	st_nlink	/nlink_t
FIELD	10	2	st_uid	/uid_t
FIELD	12	2	st_gid	/gid_t
FIELD	14	2	st_rdev	/dev_t
FIELD	16	8	st_size	/off_t
FIELD	24	8	st_atime	/time_t
FIELD	32	8	st_spare1	/long int
FIELD	40	8	st_mtime	/time_t
FIELD	48	8	st_spare2	/long int
FIELD	56	8	st_ctime	/time_t
FIELD	64	8	st_spare3	/long int
FIELD	72	8	st_blksize	/long int
FIELD	80	8	st_blocks	/long int
FIELD	88	16	st_spare4	/long int[2]
/stat.h/stat	144	StructureDB	
FIELD	0	8	st_dev	/types.h/__dev_t
FIELD	8	2	__pad1	/ushort
FIELD	16	8	st_ino	/types.h/__ino_t
FIELD	24	4	st_mode	/types.h/__mode_t
FIELD	28	4	st_nlink	/types.h/__nlink_t
FIELD	32	4	st_uid	/types.h/__uid_t
FIELD	36	4	st_gid	/types.h/__gid_t
FIELD	40	8	st_rdev	/types.h/__dev_t
FIELD	48	2	__pad2	/ushort
FIELD	56	8	st_size	/types.h/__off_t
FIELD	64	8	st_blksize	/types.h/__blksize_t
FIELD	72	8	st_blocks	/types.h/__blkcnt_t
FIELD	80	16	st_atim	/time.h/timespec
FIELD	96	16	st_mtim	/time.h/timespec
FIELD	112	16	st_ctim	/time.h/timespec
FIELD	128	8	__unused4	/ulong
FIELD	136	8	__unused5	/ulong
/stat *	4	PointerDB	pointer to stat
/stat.h/stat *	4	PointerDB	pointer to stat
/string	-1	StringDataType	String (fixed length)
/string-utf8	-1	StringUTF8DataType	String (Fixed Length UTF-8 Unicode)
/time_t	8	TypedefDB	Signed Long Integer (compiler-specific size)
/time.h/timespec	16	StructureDB	
FIELD	0	8	tv_sec	/types.h/__time_t
FIELD	8	8	tv_nsec	/long
/tm	36	StructureDB	
FIELD	0	4	tm_sec	/int
FIELD	4	4	tm_min	/int
FIELD	8	4	tm_hour	/int
FIELD	12	4	tm_mday	/int
